Latitude,Longitude,Height (m),Data Rate (kbpms)
48.181839,11.613806,11.2,87.176
48.181839,11.613806,11.1,0
48.181839,11.613806,11,0.608
48.181839,11.613806,10.9,1.664
48.181839,11.613806,10.9,0.68
48.18184,11.613806,10.8,86.04
48.181839,11.613807,10.7,0
48.18184,11.613806,10.6,0
48.18184,11.613806,10.5,0
48.18184,11.613806,10.4,0
48.18184,11.613806,10.3,81.528
48.18184,11.613806,10.3,0
48.18184,11.613806,10.2,0
48.18184,11.613806,10.2,53.776
48.181839,11.613806,10.2,0
48.181839,11.613806,10.1,77.16
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,88.976
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,102.304
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,52.56
48.181839,11.613805,10.2,0.632
48.181839,11.613805,10.2,100.88
48.181839,11.613806,10.2,0
48.181838,11.613807,10.2,0
48.181838,11.613808,10.2,0
48.181838,11.613808,10.2,141.848
48.181838,11.613809,10.2,48.448
48.181838,11.61381,10.2,0
48.181838,11.613812,10.2,0
48.181837,11.613813,10.2,59.496
48.181837,11.613814,10.2,0
48.181837,11.613816,10.2,58.056
48.181836,11.613817,10.2,0
48.181836,11.613819,10.2,0
48.181836,11.61382,10.2,43.896
48.181836,11.613822,10.2,0.672
48.181835,11.613823,10.2,62.88
48.181835,11.613825,10.2,0.928
48.181834,11.613827,10.2,0
48.181834,11.613829,10.2,75.512
48.181834,11.613831,10.2,1.752
48.181833,11.613833,10.2,46.8
48.181833,11.613835,10.2,0.688
48.181832,11.613837,10.2,0.632
48.181832,11.613839,10.2,12.112
48.181832,11.613841,10.2,0
48.181831,11.613844,10.2,12.112
48.18183,11.613846,10.2,0
48.181829,11.613849,10.2,0
48.181829,11.613851,10.2,67.112
48.181828,11.613854,10.3,1.664
48.181828,11.613856,10.3,12.112
48.181827,11.613858,10.3,0
48.181826,11.613861,10.3,0
